title,original_price,current_price
Sulas Dzēriens Pfanner Fruity Apelsīnu 25% 2l Tetra,"3,29 € - 3,35 €",2.99
Mitrinoša Dušas&vannas Žel.langelica Ar Auzu Pieniņu 500ml,"5,49 € - 6,29 €",3.29
Barojoša Dušas&vannas Žel.langelica Ar Kokosr.pienu 500ml,"5,49 € - 6,29 €",3.29
Čipsi O'byte Kartupeļu Ar Tomātu Garšu 90g,"1,89 € - 1,99 €",1.39
Čipsi O'byte Kartupeļu Ar Krējuma Un Sīpolu Garšu 90g,"1,89 € - 1,99 €",1.39
Pirts Smilšu Pulkstenis 15min 4living,"8,85 € - 10,05 €",6.20
Kēkss Svētku Siguldas Maiznieks Ar Sukādēm 400g,"2,29 € - 2,59 €",1.99
Īpaši Tumša Šokolāde Laima Lukss 87% 90g,‌,2.09
Veļas Mīkstinātājs Lenor Gold Orchid Vanilla 675ml 32mr,‌,3.59
Veļas Mazg.līdz.ariel Sensitive 1.125l 25mr,"10,49 € - 12,49 €",8.29
Veļas Mazg.kapsulas Ariel Color 70gab,‌,18.99
Veļas Mazg.kapsulas Ariel Mountain Spring 30gab,"20,79 € - 21,99 €",12.99
Veļas Mazg.līdz.ariel Mountain Spring 1.125l 25mr,"10,49 € - 12,49 €",8.29
Veļas Mīkstinātājs Lenor Lotus Diamond 987ml 37mr,"6,99 € - 7,99 €",4.79
Veļas Mīkstinātājs Lenor Floral Bouquet 987ml 47mr,"6,99 € - 7,99 €",4.79
Jogurts Farmi Skyr Meža Zemeņu 150g,"1,19 € - 1,49 €",0.79
Jogurts Farmi Skyr Apelsīnu Straciatella 150g,"1,19 € - 1,49 €",0.79
D Alk.kokt. Mix Original Pornstar Martini  4% 0.33l Stikls,‌,1.19
Tumšā Šokolāde Laima Sarkanā Magone 90g,‌,2.09
Kondicionieris Matiem Pantene Intensive Repair Active 275ml,‌,4.29
Skuveklis Gillette Sensor 3 Plus Comfort Ar 8 Kasetēm,"8,49 € - 10,49 €",6.99
D Sidrs Somersby Pineapple Lime 4.5% 0.5l Can,‌,1.49
Siera Uzkoda Ādaži Collection 300g,"2,99 € - 3,29 €",2.59
Siers Holandes Jaunpils Šķēlēs 300g,"2,99 € - 3,29 €",2.59
Pirts Cepure Rento Brūna,"9,99 € - 11,19 €",6.99
Termometrs Pirtij 4living Koka,"3,99 € - 4,49 €",2.79
Birste Ķermenim Rento Bamboo,"9,99 € - 12,29 €",6.99
Sautējums William Saurin Pupiņu Ar Pīli 400g,‌,3.69
Sautējums William Saurin Vistas Ar Sēņu Mērci 400g,‌,3.69
Sautējums William Saurin Cūkgaļas Ar Lēcām 400g,‌,3.69
Vista Krējuma Mērcē William Saurin Ar Makaron. Un Sēnēm 280g,‌,3.69
Sautējums William Saurin Teļa Gaļas Un Dārzeņu 280g,‌,3.69
Sautējums William Saurin Truša Baltvīna Mērcē 300g,‌,3.69
Veļas Mazg.kapsulas Ariel Color 30gab,"20,79 € - 22,99 €",12.99
D Dzēriens Biola Mojito Zemeņu Gāz. 500ml Pet,"0,89 € - 0,92 €",0.65
Mērce Dimdiņi Cēzara Maigā 250g Stāvpaka,"2,89 € - 3,39 €",1.89
Graudainais Biezpiens Tip Top 9% 185g,‌,1.25
Graudainais Biezpiens Tip Top 0.5% 185g,‌,1.15
Desiņas Ādaži Grill Collection Chedarwurst 350g,"2,99 € - 3,49 €",2.24
D Minerālūdens Acqua Panna Negāz. 1l Pet,‌,1.09
Vermuts Martini Fiero 15% 1l,"15,69 € - 16,32 €",11.99
D Dzēriens Royal Club Indian Tonic 1.0l Pet,"1,89 € - 1,93 €",1.09
D Dzēriens Royal Club Pink Tonic 1.0l Pet,"1,89 € - 1,93 €",1.09
Šķidrās Ziepes Dagne Bārbele 500ml,‌,1.39
D Enerģijas Dzēr.cult Game Changer 500ml Can,‌,0.89
Desiņas Ādaži Mini Grill Collection Bbq 250g,"2,29 € - 2,59 €",1.94
Mitrās Salvetes Pampers Harmonie Aqua Pf 48gab,‌,2.54
Mitrās Salvetes Pampers Sensitive Pf 52gab,‌,1.69
Sulas Dzēriens Elmenhorster Sark.augļu Mix 20% 2l,"2,89 € - 2,99 €",2.39
D Minerālūdens Hohes C Antiox V.gāz.zem. Greip.750ml Pet,"2,29 € - 2,34 €",1.69
D Minerālūdens Hohes C Protect V.gāz. Laims Ingv. 750ml Pet,"2,29 € - 2,34 €",1.69
Vīns B. Teliani Valley Pirosmani White 11% 0.75l,"8,49 € - 8,65 €",5.99
Vīns S. Teliani Valley Pirosmani 11.5% 0.75l,"8,49 € - 8,65 €",5.99
Kafijas Kapsulas Aroma Gold Crème Brulee 256g,"7,59 € - 8,49 €",5.39
D Dzēriens Super Manki Bubblegum Gāz. 330ml Can,"1,09 € - 1,12 €",0.69
Siers Jaunpils Tilsiter Šķēlēs 300g,"2,99 € - 3,29 €",2.59
Vīns S. Argo Alazani Valley Medium Sweet Red 11.5% 0.75l,"7,99 € - 8,15 €",5.29
Vīns B. Argo Alazani Valley Medium Sweet White 11.5% 0.75l,"7,99 € - 8,15 €",5.29
